age,ageSD,MaO18,MaO18SD
14.713,0.14713,-8.306,0.1
14.726,0.14726,-7.83,0.1
14.739,0.14739,-7.797,0.1
14.7655,0.147655,-6.856,0.1
14.8025,0.148025,-7.678,0.1
14.835,0.14835,-7.146,0.1
14.8655,0.148655,-6.511,0.1
14.8955,0.148955,-7.733,0.1
14.926,0.14926,-7.431,0.1
14.9585,0.149585,-7.688,0.1
14.9955,0.149955,-7.287,0.1
15.0235,0.150235,-7.767,0.1
15.049,0.15049,-7.276,0.1
15.074,0.15074,-6.997,0.1
15.0995,0.150995,-6.912,0.1
15.128,0.15128,-7.217,0.1
15.1465,0.151465,-7.525,0.1
15.1655,0.151655,-7.426,0.1
15.184,0.15184,-8.073,0.1
15.2035,0.152035,-7.087,0.1
15.2235,0.152235,-6.612,0.1
15.2435,0.152435,-6.723,0.1
15.263,0.15263,-7.314,0.1
15.2825,0.152825,-7.517,0.1
15.303,0.15303,-7.049,0.1
15.33,0.1533,-7.411,0.1
15.355,0.15355,-7.355,0.1
15.3805,0.153805,-7.114,0.1
15.4085,0.154085,-6.995,0.1
15.4335,0.154335,-6.953,0.1
15.456,0.15456,-6.749,0.1
15.4785,0.154785,-7.685,0.1
15.504,0.15504,-7.703,0.1
15.5165,0.155165,-7.88,0.1
15.529,0.15529,-7.92,0.1
15.5415,0.155415,-7.387,0.1
15.5545,0.155545,-5.78,0.1
15.567,0.15567,-8.112,0.1
15.577,0.15577,-8.187,0.1
15.587,0.15587,-7.823,0.1
15.5965,0.155965,-7.396,0.1
15.6065,0.156065,-7.93,0.1
15.617,0.15617,-7.504,0.1
15.625,0.15625,-7.002,0.1
15.633,0.15633,-7.177,0.1
15.641,0.15641,-7.211,0.1
15.6495,0.156495,-6.848,0.1
15.658,0.15658,-7.009,0.1
15.668,0.15668,-7.393,0.1
15.678,0.15678,-7.544,0.1
15.6885,0.156885,-7.743,0.1
15.707,0.15707,-6.694,0.1
15.725,0.15725,-7.142,0.1
15.7415,0.157415,-7.397,0.1
15.7585,0.157585,-7.462,0.1
15.7765,0.157765,-7.547,0.1
15.797,0.15797,-6.548,0.1
15.817,0.15817,-6.506,0.1
15.837,0.15837,-7.006,0.1
15.865,0.15865,-7.136,0.1
15.89,0.1589,-6.852,0.1
15.9145,0.159145,-6.129,0.1
15.942,0.15942,-6.61,0.1
15.9925,0.159925,-6.626,0.1
16.0295,0.160295,-6.809,0.1
16.082,0.16082,-6.386,0.1
16.0915,0.160915,-6.954,0.1
16.1005,0.161005,-6.177,0.1
16.11,0.1611,-6.188,0.1
16.1195,0.161195,-8.32,0.1
16.129,0.16129,-8.362,0.1
16.1395,0.161395,-7.561,0.1
16.15,0.1615,-7.105,0.1
16.16,0.1616,-7.334,0.1
16.171,0.16171,-8.334,0.1
16.2085,0.162085,-7.641,0.1
16.226,0.16226,-7.732,0.1
16.2445,0.162445,-7.829,0.1
16.2665,0.162665,-7.746,0.1
16.2875,0.162875,-7.571,0.1
16.307,0.16307,-7.32,0.1
